Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,CCAFS,Dragon,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0003.1,No attempt,4 June 2010,18:45
1,CCAFS,SpaceX CRS-1,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0004.1,"No attempt
",8 December 2010,15:43
2,CCAFS,SpaceX CRS-2,500 kg,Polar orbit,MDA,Success,F9 v1.0B0005.1,Uncontrolled,22 May 2012,07:44
3,VAFB,CASSIOPE,"3,170 kg",GTO,SES,Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
4,CCAFS,SES-8,"3,325 kg",GTO,Thaicom,Success,F9 v1.0B0007.1,No attempt,1 March 2013,15:10
5,CCAFS,Thaicom 6,"2,296 kg",LEO,NASA,"Success
",F9 v1.1B1003,Controlled,29 September 2013,16:00
6,Cape Canaveral,SpaceX CRS-3,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,3 December 2013,22:41
7,Cape Canaveral,Orbcomm-OG2,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,6 January 2014,22:06
8,Cape Canaveral,AsiaSat 8,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",18 April 2014,19:25
9,Cape Canaveral,AsiaSat 6,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,14 July 2014,15:15
10,Cape Canaveral,SpaceX CRS-4,"2,395 kg",LEO,NASA,Success,F9 v1.1,Failure ,5 August 2014,08:00
11,Cape Canaveral,SpaceX CRS-5,570 kg,HEO,USAF,"Success
",F9 v1.1,Controlled,7 September 2014,05:00
12,Cape Canaveral,DSCOVR,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,21 September 2014,05:52
13,Cape Canaveral,ABS-3A,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,10 January 2015,09:47
14,Cape Canaveral,SpaceX CRS-6,"4,707 kg",GTO,,"Success
",F9 v1.1,No attempt,11 February 2015,23:03
15,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,2 March 2015,03:50
16,Cape Canaveral,SpaceX CRS-7,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,14 April 2015,20:10
17,Cape Canaveral,Orbcomm-OG2,553 kg,LEO,NASA,"Success
",F9 v1.1,Failure,27 April 2015,23:03
18,VAFB,Jason-3,"5,271 kg",GTO,SES,"Success
",F9 v1.1,Failure,28 June 2015,14:21
19,Cape Canaveral,SES-9,"3,136 kg",LEO,NASA,Success,F9 FT,Success,22 December 2015,01:29
20,Cape Canaveral,SpaceX CRS-8,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,17 January 2016,18:42
21,Cape Canaveral,JCSAT-14,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,4 March 2016,23:35
22,Cape Canaveral,Thaicom 8,"3,600 kg",GTO,ABS,"Success
",F9 FT,Failure,8 April 2016,20:43
23,Cape Canaveral,ABS-2A,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,6 May 2016,05:21
24,Cape Canaveral,SpaceX CRS-9,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,27 May 2016,21:39
25,Cape Canaveral,JCSAT-16,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,15 June 2016,14:29
26,VAFB,Iridium NEXT,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,18 July 2016,04:45
27,KSC,SpaceX CRS-10,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,14 August 2016,05:26
28,KSC,EchoStar 23,"5,300 kg",GTO,SES,Success,F9 FT,Success,14 January 2017,17:54
29,KSC,SES-10,C,LEO,NRO,"Success
",F9 FT,Success,19 February 2017,14:39
30,KSC,NROL-76,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,16 March 2017,06:00
31,KSC,Inmarsat-5 F4,"2,708 kg",LEO,NASA,"Success
",F9 FT♺,Success,30 March 2017,22:27
32,KSC,SpaceX CRS-11,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FT,Success,1 May 2017,11:15
33,KSC,BulgariaSat-1,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,15 May 2017,23:21
34,VAFB,Iridium NEXT,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,3 June 2017,21:07
35,KSC,Intelsat 35e,"3,310 kg",LEO,NASA,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
36,KSC,SpaceX CRS-12,475 kg,SSO,NSPO,"Success
",F9 FT,Success,25 June 2017,20:25
37,VAFB,Formosat-5,"4,990 kg",LEO,USAF,"Success
",F9 FT,Success,5 July 2017,23:38
38,KSC,Boeing X-37B,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4,Success,14 August 2017,16:31
39,VAFB,Iridium NEXT,"5,200 kg",GTO,SES S.A.,"Success
",F9 FT,Success,24 August 2017,18:51
40,KSC,SES-11,"3,500 kg",GTO,KT Corporation,"Success
",F9 B4,Success,7 September 2017,14:00
41,KSC,Koreasat 5A,"2,205 kg",LEO,NASA,"Success
",F9 B4,Success,9 October 2017,12:37
42,Cape Canaveral,SpaceX CRS-13,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1031.2,Controlled,11 October 2017,22:53:00
43,VAFB,Iridium NEXT,C,LEO,Northrop Grumman,Success,F9 B4,Success,30 October 2017,19:34
44,CCAFS,Zuma,"4,230 kg",GTO,SES,Success,F9 FTB1035.2,Controlled,15 December 2017,15:36
45,CCAFS,GovSat-1,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1036.2,No attempt,23 December 2017,01:27
46,VAFB,Paz,"6,092 kg",GTO,Hispasat,Success,F9 B4,No attempt,8 January 2018,01:00
47,CCAFS,Hispasat 30W-6,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1032.2,No attempt,31 January 2018,21:25
48,VAFB,Iridium NEXT,"2,647 kg",LEO,NASA,Success,F9 FTB1038.2,No attempt,22 February 2018,14:17
49,CCAFS,SpaceX CRS-14,362 kg,HEO,NASA,Success,F9 B4,Success,6 March 2018,05:33
50,CCAFS,Transiting Exoplanet Survey Satellite,"3,600 kg",GTO,Thales-Alenia,Success,F9 B4B1041.2,Success,30 March 2018,14:14
51,KSC,Bangabandhu-1,"6,460 kg",Polar,Iridium Communications,Success,F9 B4B1039.2,No attempt,2 April 2018,20:30
52,VAFB,Iridium NEXT,"5,384 kg",GTO,SES,Success,F9 B4,No attempt,18 April 2018,22:51
53,CCAFS,SES-12,"2,697 kg",LEO,NASA,Success,F9 B5B1046.1,No attempt,11 May 2018,20:14
54,CCAFS,SpaceX CRS-15,"7,075 kg",GTO,Telesat,Success,F9 B4B1043.2,Success,22 May 2018,19:47
55,CCAFS,Telstar 19V,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1040.2,Success,4 June 2018,04:45
56,VAFB,Iridium NEXT,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B4B1045.2,Success,29 June 2018,09:42
57,CCAFS,Merah Putih,"7,060 kg",GTO,Telesat,Success,F9 B5,Success,22 July 2018,05:50
58,CCAFS,Telstar 18V,"3,000 kg",SSO,CONAE,Success,F9 B5B1048,Success,25 July 2018,11:39
59,VAFB,SAOCOM 1A,"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1046.2,Success,7 August 2018,05:18
60,KSC,Es'hail 2,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5,Success,10 September 2018,04:45
61,VAFB,SSO-A,"2,500 kg",LEO,NASA,"Success
",F9 B5B1048.2,Failure,8 October 2018,02:22
62,CCAFS,SpaceX CRS-16,"4,400 kg",MEO,USAF,Success,F9 B5B1047.2,No attempt,15 November 2018,20:46
63,CCAFS,GPS III,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1046.3,Success,3 December 2018,18:34:05
64,VAFB,Iridium NEXT,"4,850 kg",GTO,PSN,"Success
",F9 B5,Success,5 December 2018,18:16
65,CCAFS,Nusantara Satu,"12,055 kg",LEO,NASA,"Success
",F9 B5,Success,23 December 2018,13:51
66,KSC,Crew Dragon Demo-1,"2,495 kg",LEO,NASA,"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
67,CCAFS,SpaceX CRS-17,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
68,CCAFS,Starlink,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5[268],Success,2 March 2019,07:49
69,VAFB,RADARSAT Constellation,"2,268 kg",LEO,NASA,"Success
",F9 B5,Success,4 May 2019,06:48
70,CCAFS,SpaceX CRS-18,"6,500 kg",GTO,Spacecom,"Success
",F9 B5B1049.3,No attempt,24 May 2019,02:30
71,CCAFS,AMOS-17,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.2,Success,12 June 2019,14:17
72,CCAFS,Starlink,"2,617 kg",LEO,NASA,"Success
",F9 B5B1056.2,Success,25 July 2019,22:01
73,CCAFS,SpaceX CRS-19,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
74,CCAFS,JCSat-18,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,11 November 2019,14:56
75,CCAFS,Starlink,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,"No attempt
",5 December 2019,17:29
76,KSC,Crew Dragon in-flight abort test,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1056.3,Success,17 December 2019,00:10
77,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,7 January 2020,02:19:21
78,CCAFS,Starlink,"1,977 kg",LEO,NASA,"Success
",F9 B5,Success,19 January 2020,15:30
79,CCAFS,SpaceX CRS-20,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,29 January 2020,14:07
80,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,17 February 2020,15:05
81,KSC,Starlink,"12,530 kg",LEO,NASA,"Success
",F9 B5,Success,7 March 2020,04:50
82,KSC,Crew Dragon Demo-2,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,18 March 2020,12:16
83,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
84,CCAFS,Starlink,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,30 May 2020,19:22
85,CCAFS,GPS III,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5,Success,4 June 2020,01:25
86,CCAFS,ANASIS-II,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,13 June 2020,09:21
87,KSC,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 June 2020,20:10:46
88,CCAFS,Starlink,"3,130 kg",SSO,CONAE,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
89,CCAFS,SAOCOM 1B,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,05:12
90,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
91,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
92,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
93,CCAFS,Starlink,"4,311 kg",MEO,USSF,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
94,CCAFS,GPS III,"~12,500 kg",LEO,NASA,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
95,KSC,Crew-1,"1,192 kg",LEO,NASA,"Success
",F9 B5,Success,24 October 2020,15:31:34
96,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,5 November 2020,23:24:23
97,CCAFS,Starlink,"2,972 kg",LEO,NASA,"Success
",F9 B5,Success,16 November 2020,00:27
98,KSC,SpaceX CRS-21,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,21 November 2020,17:17:08
99,CCSFS,SXM-7,C,LEO,NRO,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
100,KSC,NROL-108,"3,500 kg",GTO,Türksat,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
101,CCSFS,Türksat 5A,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
102,KSC,Starlink,"~5,000 kg",SSO,"Various
","Success
",F9 B5 ♺,Failure,19 December 2020,14:00:00
103,CCSFS,Transporter-1,0,LEO,SpaceX,Success,F9 B5,Failure,8 January 2021,02:15
104,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,F9 B5B1051.8,"No attempt
",20 January 2021,13:02
105,CCAFS,Dragon,525 kg,LEO,SpaceX,"Success
",F9 B5B1058.5,No attempt,24 January 2021,15:00
106,CCAFS,Dragon,"4,700 kg",LEO,SpaceX,"Success
",F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,CCAFS,SpaceX CRS-1,"4,877 kg",LEO,SpaceX,Success,F9 v1.0B0004.1,Uncontrolled,8 December 2010,15:43
2,CCAFS,SpaceX CRS-2,500 kg,Polar orbit,SpaceX,Success,F9 v1.0B0005.1,No attempt,22 May 2012,07:44
3,VAFB,CASSIOPE,"3,170 kg",GTO,SpaceX,Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
4,CCAFS,SES-8,"3,325 kg",GTO,NASA,"Success
",F9 v1.0B0007.1,Controlled,1 March 2013,15:10
5,CCAFS,Thaicom 6,"2,296 kg",LEO,SpaceX,Success,F9 v1.1B1003,Controlled,29 September 2013,16:00
6,Cape Canaveral,SpaceX CRS-3,"1,316 kg",LEO,SpaceX,Success,F9 v1.1,No attempt,3 December 2013,22:41
7,Cape Canaveral,Orbcomm-OG2,"4,535 kg",GTO,SpaceX,Success,F9 v1.1,"No attempt
",6 January 2014,22:06
8,Cape Canaveral,AsiaSat 8,"4,428 kg",GTO,SpaceX,Success,F9 v1.1,Uncontrolled,18 April 2014,19:25
9,Cape Canaveral,AsiaSat 6,"2,216 kg",LEO,SpaceX,Success,F9 v1.1,Failure ,14 July 2014,15:15
10,Cape Canaveral,SpaceX CRS-4,"2,395 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,5 August 2014,08:00
11,Cape Canaveral,SpaceX CRS-5,570 kg,HEO,Sirius XM,"Success
",F9 v1.1,No attempt,7 September 2014,05:00
12,Cape Canaveral,DSCOVR,"4,159 kg",GTO,SpaceX,"Success
",F9 v1.1,Failure,21 September 2014,05:52
13,Cape Canaveral,ABS-3A,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,No attempt,10 January 2015,09:47
14,Cape Canaveral,SpaceX CRS-6,"4,707 kg",GTO,NASA,Failure,F9 v1.1,Precluded,11 February 2015,23:03
15,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"1,952 kg",LEO,NASA,"Success
",F9 v1.1,Success,2 March 2015,03:50
16,Cape Canaveral,SpaceX CRS-7,"2,034 kg",LEO,NASA,"Success
",F9 v1.1,Failure,14 April 2015,20:10
17,Cape Canaveral,Orbcomm-OG2,553 kg,LEO,MDA,"Success
",F9 v1.1,Failure,27 April 2015,23:03
18,VAFB,Jason-3,"5,271 kg",GTO,SES,Success,F9 v1.1,Success,28 June 2015,14:21
19,Cape Canaveral,SES-9,"3,136 kg",LEO,Thaicom,"Success
",F9 FT,Success,22 December 2015,01:29
20,Cape Canaveral,SpaceX CRS-8,"4,696 kg",GTO,NASA,"Success
",F9 v1.1,Success,17 January 2016,18:42
21,Cape Canaveral,JCSAT-14,"3,100 kg",GTO,Orbcomm,"Success
",F9 FT,Failure,4 March 2016,23:35
22,Cape Canaveral,Thaicom 8,"3,600 kg",GTO,AsiaSat,"Success
",F9 FT,Success,8 April 2016,20:43
23,Cape Canaveral,ABS-2A,"2,257 kg",LEO,AsiaSat,"Success
",F9 FT,Success,6 May 2016,05:21
24,Cape Canaveral,SpaceX CRS-9,"4,600 kg",GTO,NASA,"Success
",F9 FT,Success,27 May 2016,21:39
25,Cape Canaveral,JCSAT-16,"9,600 kg",Polar,NASA,"Success
",F9 FT,Success,15 June 2016,14:29
26,VAFB,Iridium NEXT,"2,490 kg",LEO,USAF,"Success
",F9 FT,No attempt,18 July 2016,04:45
27,KSC,SpaceX CRS-10,"5,600 kg",GTO,ABS,Success,F9 FT,Success,14 August 2016,05:26
28,KSC,EchoStar 23,"5,300 kg",GTO,NASA,"Success
",F9 FT,Success,14 January 2017,17:54
29,KSC,SES-10,C,LEO,,"Success
",F9 FT,No attempt,19 February 2017,14:39
30,KSC,NROL-76,"6,070 kg",GTO,NASA,"Success
",F9 FT,Success,16 March 2017,06:00
31,KSC,Inmarsat-5 F4,"2,708 kg",LEO,Orbcomm,"Success
",F9 FT♺,Success,30 March 2017,22:27
32,KSC,SpaceX CRS-11,"3,669 kg",GTO,NASA,"Success
",F9 FT,Success,1 May 2017,11:15
33,KSC,BulgariaSat-1,"9,600 kg",LEO,SES,"Success
",F9 FT,No attempt,15 May 2017,23:21
34,VAFB,Iridium NEXT,"6,761 kg",GTO,NASA,"Success
",F9 FT,Success,3 June 2017,21:07
35,KSC,Intelsat 35e,"3,310 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
36,KSC,SpaceX CRS-12,475 kg,SSO,Thaicom,"Success
",F9 FT,Success,25 June 2017,20:25
37,VAFB,Formosat-5,"4,990 kg",LEO,ABS,"Success
",F9 FT,Success,5 July 2017,23:38
38,KSC,Boeing X-37B,"9,600 kg",Polar,NASA,"Success
",F9 B4,Success,14 August 2017,16:31
39,VAFB,Iridium NEXT,"5,200 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,24 August 2017,18:51
40,KSC,SES-11,"3,500 kg",GTO,Iridium Communications,"Success
",F9 B4,Success,7 September 2017,14:00
41,KSC,Koreasat 5A,"2,205 kg",LEO,NASA,Success,F9 B4,Controlled,9 October 2017,12:37
42,Cape Canaveral,SpaceX CRS-13,"9,600 kg",Polar,EchoStar,Success,F9 FTB1031.2,Success,11 October 2017,22:53:00
43,VAFB,Iridium NEXT,C,LEO,SES,Success,F9 B4,Controlled,30 October 2017,19:34
44,CCAFS,Zuma,"4,230 kg",GTO,NRO,Success,F9 FTB1035.2,No attempt,15 December 2017,15:36
45,CCAFS,GovSat-1,"2,150 kg",SSO,Inmarsat,Success,F9 FTB1036.2,No attempt,23 December 2017,01:27
46,VAFB,Paz,"6,092 kg",GTO,NASA,Success,F9 B4,No attempt,8 January 2018,01:00
47,CCAFS,Hispasat 30W-6,"9,600 kg",Polar,Bulsatcom,Success,F9 FTB1032.2,No attempt,31 January 2018,21:25
48,VAFB,Iridium NEXT,"2,647 kg",LEO,Iridium Communications,Success,F9 FTB1038.2,Success,22 February 2018,14:17
49,CCAFS,SpaceX CRS-14,362 kg,HEO,Intelsat,Success,F9 B4,Success,6 March 2018,05:33
50,CCAFS,Transiting Exoplanet Survey Satellite,"3,600 kg",GTO,NASA,Success,F9 B4B1041.2,No attempt,30 March 2018,14:14
51,KSC,Bangabandhu-1,"6,460 kg",Polar,NSPO,Success,F9 B4B1039.2,No attempt,2 April 2018,20:30
52,VAFB,Iridium NEXT,"5,384 kg",GTO,USAF,Success,F9 B4,No attempt,18 April 2018,22:51
53,CCAFS,SES-12,"2,697 kg",LEO,Iridium Communications,Success,F9 B5B1046.1,Success,11 May 2018,20:14
54,CCAFS,SpaceX CRS-15,"7,075 kg",GTO,SES S.A.,Success,F9 B4B1043.2,Success,22 May 2018,19:47
55,CCAFS,Telstar 19V,"9,600 kg",Polar,KT Corporation,Success,F9 B4B1040.2,Success,4 June 2018,04:45
56,VAFB,Iridium NEXT,"5,800 kg",GTO,NASA,Success,F9 B4B1045.2,Success,29 June 2018,09:42
57,CCAFS,Merah Putih,"7,060 kg",GTO,Iridium Communications,Success,F9 B5,Success,22 July 2018,05:50
58,CCAFS,Telstar 18V,"3,000 kg",SSO,Northrop Grumman,Success,F9 B5B1048,Success,25 July 2018,11:39
59,VAFB,SAOCOM 1A,"5,300 kg",GTO,SES,Success,F9 B5B1046.2,Success,7 August 2018,05:18
